,reviews,stars
0,"Покупала 01.06.2021года.Уже как две недели он не работает, включается и гудит, пытается сосать, но не получается у него... Была так рада покупке, но итог помойка. Плохо держится контейнер.",1
1,"Уважаемые покупатели, в данном магазине не стоит покупать эл. Товары Гарантийных обязательств магазин не несёт - хоть и ставит печати и гарантийники выдаёт. а просто отказывает сославшись на производителя -, а производитель ссылается на ВЕЛБЕРИС! Данный магазин без всякого сомнения обманывает покупателей... Купленный здесь прибор с гарантией 3 года - перестал работать уже на второй день после покупки, ВЕЛБЕРИС к возврату товар не принимает!!!!",1
2,"Здравствуйте, Татьяна! Благодарим вас за обратную связь. Нам очень жаль, что вы столкнулись с подобной ситуацией. Гарантия на устройство составляет 2 года. Хотим сообщить, что в случае, если вы получаете товар ненадлежащего качества, об этом можно заявить через раздел личного кабинета ""Проверка товара"". Если при доставке товара и проверке техники возникла спорная ситуация, вы всегда можете обратиться в службу поддержки магазина WildBerries, а при возникновении вопросов по использованию техники Philips, пожалуйста, свяжитесь с центром информационной поддержки Philips любым удобным для вас способом, например, через социальные сети VK, Facebook или напишите WhatsApp.",1
3,Пылесос отстой! Щетка убогая! Гудит как трактор. От куда столько пяторок не понятно,1
4,"У кого-нибудь болтается контейнер, когда вставлен в пылесос??? В труба должна так ходить? Будто не фиксируется??",1
5,"Здравствуйте, Анна! Благодарим за обратную связь. Нам жаль, что вы столкнулись с подобными неудобствами. Хотим обратить ваше внимание, что контейнер и труба должны устанавливаться до щелчка. Пожалуйста, убедитесь в их корректной установке. Если рекомендации не помогли, пожалуйста, свяжитесь с центром информационной поддержки Philips любым удобным для вас способом, например, через социальные сети VK, Facebook или напишите WhatsApp.",1
6,"Товар был оплачен, денежные средства списаны, но так и не привезён в пункт выдачи, в стате почему-то стоит отменён, уже неделю пишу в службу поддержки, никто ничего не знает, прошу или привезти товар или вернуть денежные средства.",1
7,"Здравствуйте, Алеся! Мы огорчены, что вам пришлось столкнуться с подобной ситуацией. Доставкой занимается интернет-магазин Wildberries. К сожалению, возможности рассмотреть вашу заявку у представителя бренда нет. Рекомендуем для решения вопроса создать заявку в разделе ""Обращение"" или позвонить на линию информационной поддержки Wildberries. Надеемся на скорейшее решение вашего вопроса и что это не повлияет на ваше отношение к компании Philips.",1
8,"Ужасный пылесос, не сосёт от слова совсем!!! Зря выбросила деньги",1
9,"Здравствуйте, Татьяна! Спасибо за обратную связь. Очень жаль, что вам пришлось столкнуться с подобной ситуацией. Такое чаще всего происходит из-за загрязнений фильтра, щетки, контейнера для мусора. Также мощность всасывания можно регулировать с помощью ползунка, который находится на ручке шланга пылесоса. Перемещение ползунка обеспечивает отвод воздуха и сила всасывания изменяется. Если вы произвели необходимые очистки и отрегулировали ползунок, а мощность не увеличилась, то обратитесь, пожалуйста, в службу технической поддержки компании Philips, наши сотрудники произведут удаленную диагностику и подскажут по дальнейшим действиям. Пожалуйста, обращайтесь в любое удобное для вас время, мы будем рады помочь!",1
10,"Ужас. Коробка драная, в контейнере мусор(кто-то уже пользовался). Возврат",1
11,"Заказала пылесос в январе, на первый взгяд отличный пылесос, со временем конечно стал менее мощный, и по итогу прослужил всего 9 месяцев и сломался, если вы собираетесь его брать и сомневаетесь стоит или нет, мой вам совет не берите, своих денег не стоит.....",1
12,"Пришёл в рваном коробе, пылесос просто валялся в нём, ничем не укреплённый, ужас!!! Как можно привозить товар в таком состоянии!",1
13,"Не берите!!!! Через месяц использования, мощность всасывания упала до такой степени, что простой мусор не пылесосился. Сами увезли пылесос (причём в другой город за 300км) в сервисный центр, там ничего не сделали, и отдали его нам со словами - почистите фильтр. Хотя весь пылесос мы прочистили, просмотрели. Теперь стоит пылится без дела, потому что пылесосить им не возможно",1
14,"Здравствуйте, Екатерина! Благодарим вас за обратную связь. Мы огорчены, что вы столкнулись с подобным поведением пылесоса. Если вы столкнулись с потерей мощности всасывания у пылесоса, рекомендуем проверить заполненность контейнера для пыли и убедиться, что в трубе, шланге или насадке отсутствуют засоры. Также рекомендуем проверить оба фильтра. Они должны быть корректно установлены в пылесосе и очищены от загрязнений. Если рекомендации не помогли, пожалуйста, свяжитесь с центром информационной поддержки Philips любым удобным для вас способом. Наши специалисты работают круглосуточно и всегда будут рады вам помочь!",1
