,reviews,stars
0,Пылесосит и правда хорошо! Очень понятный и простой!,5
1,"Пылесосит отлично, но очень шумный",5
2,Очень понравился. Линолеум поднимает. У меня дома нет ковров. Использую ежедневно вместо веника,5
3,"Пылесос просто супер.Небольшой,мощный,не очень громкий.Я очень довальна.",5
4,Очень рекомендую)Просто бомба),5
5,Отличный пылесос.,5
6,"Пылесос просто огонь, превзошёл все ожидания. Доставка быстрая, упаковка заводская, без изъянов. На пункте выдачи всё проверили, отдельное спасибо девочкам, которые там работают, очень вежливые. Товар рекомендую!!!",5
7,"Очень классный, просто идеальный, уборка быстрая с ним",5
8,Отличный пылесос. Жене очень понравился.,5
9,"Супер пылесос, на 5+",5
10,"Пылесос огонь! Мощный, небольшой и удобный в эксплуатации. Я довольна как слон.",5
11,Я очень довольна покупкой! Надеюсь на долгую службу.,5
12,Отлично работает,5
13,Пылесос бомба👍👍👍,5
14,"Мощный, стильный и не занимает много места. Рекомендую.",5
15,Мощный! Вполне всем устроил!,5
16,Товар соответствует описанию. Работает.,5
17,"Я бы сказала чересчур мощный! Засасывает так, что не потянешь. К ковру присосался, не могла оторвать! Ставлю самую маленькую мощность",5
18,Быстрая доставка,5
19,Хороший пылесос.Пока все нравится.,5
20,Обалденный пылесос!!!,5
21,"Быстро, все по списку в исправной упаковке.",5
22,"Отличный пылесос, единственное- не отдерешь от ковровых покрытии. Подумала, что перестарались с мощностью 🤭 Ответьте пожалуйста, так должно быть?",5
23,"Супер! На мой привередливый характер, покупка очень порадовала. Мощный, относительно тихий, простота и удобство и главное! Пыль и мусор всё собрано. Вывалил все из ковшика и никаких мешков. Рекомендуем",5
24,"Шайтан-машина! Пылесосит как зверь, правда и ревет так же....в общем и целом довольна.",5
25,"Спасибо.Покупаем третий,уже для родственников,так как первый,такой же,купили пол года назад.Очень простой в эксплуатации,длинный шнур.Легко чистится и моется.Очень меневренный,легкий.Мощный.Спасибо.Надеюсь,что не ошиблись и поработают все три подольше.",5
26,Супер мощный пылесос,5
27,"Пылесос мощный, хороший, покупкой довольна. Доставка быстрая.",5
28,Лучше нет,5
29,"Пылесос зверь, убирает отлично. Все заявленное в описании соответствует. Упаковано хорошо. Все цело. Доставка быстрая.",5
30,"Компактный, мощный, классная насадка для мебели в комплекте, покупкой довольно, опробовали сразу и не пожалели",5
31,"Брал в подарок, вроде все нормально",5
32,"Пылесос очень хороший, все работает исправно!",5
33,Отличный пылесос. Мощность на 10 из 10.,5
34,Шикарный пылесос! Не думал что в нашей чистой квартире столько пыли в коврах. Старый мешковый пылесос не вытягивал получается по факту и 30% от того что делает этот зверь!,5
35,"Очень мощный пылесос !Немалые усилия надо приложить чтоб пропылесосить (это про ковер).В целом покупкой довольны ,будем наблюдать за ним дальше",5
36,"Ооочень довольны покупкой,супер.",5
37,"Читала что мощный,но не ожидала что до такой степени.Действительно поднимает ковры и линолиум.Спасибо производителям.Цена соответствует качеству.Заказ пришел быстро..",5
38,Очень крутой и мощный пылесос 👍🏻👍🏻👍🏻,5
39,"Такой зверюга, это вообщееее, реально ковры от пола поднимает, столько грязищи собрал, такой хрюхой себя почувствовала 🤣🤣🤣",5
40,"Пылесос маленький, да удаленький. Понравился.",5
41,Хороший пылесос,5
42,Пылесос очень хороший за такую цену рекомендую 👍даже не ожидала что такой хороший,5
43,"Не предусмотрен регулятор мощности, а в остальном все устраивает, свою функцию выполняет пока отлично.",5
44,"Мощный, легкий, разумная цена ! Купили в замен пылесосу полярис, так как к нему не могли найти фильтр! Здесь фильтр моющийся ну и думаю проблем с покупкой нового не должно быть проблем !",5
45,"Пришло все в отличном состоянии, мощный. За свои деньги прям огонь.",5
46,"Хороший пылесос, мощный, покупали родителям, они довольны. Рекомендую!",5
47,"Хороший, довольно тихий пылесос. Удобная ручка. И к тому же очень симпатичное сочетвние цветов в расцветке модели.",5
48,Неожиданно очень мощный👍,5
49,"Очень понравился. Мощный, компактный, легкий. Брала на подарок маме, хочу теперь себе купить",5
50,"Отличный пылесос, мощный, хорошее всасывание",5
51,"Пользуюсь уже год,нареканий нет,все всасывает отлично.=))",5
52,"Пылесос понравился,небольшой,удобный,мощный,спасибо",5
53,"Пылесос очень мощный!убирать им одно удовольствие, мы очень довольны.",5
54,Монстр засасывает вместе с ковром 😄,5
55,Отличный пылесос. Я довольна очень.,5
56,Пылесос действительно мощный. Не тяжёлый.,5
57,"Хорошая мощность, довольна пылесосом",5
58,"Пылесос 🔥🔥🔥🔥Не шумный, лёгкий, просто зверь!!!!!!!!!!",5
59,Супер пылесос. Пыль всасывает мощно,5
60,"Отличный пылесос. Сразу попробовал, все круто",5
61,Здравствуйте! Получила пылесос.Довольна.Вопрос: как я могу получить гарантию на него?),5
62,"Товар забрала, на работе ещё не пробовала. Спасибо, девочке которая выдала товар, разрешила проверить на месте.",5
63,"Пришло все целое,пылесос отличный,мощный. Советую.",5
64,"Пылесос мощщ ковер за собой таскал, мощность огонь! Рекомендую всем!",5
65,Хороший пылесос,5
66,Отличный пылесос. Все работает.Пришел быстро.,5
67,"Спасибо классный ,то что хотела .",5
68,"Пылесос очень хороший. С назначением справляется на все 100%. Удобный, мощный, компактный. 👍",5
69,Пылесос супер!!!!!!,5
70,"Каа и писалось выше, пылесос пушка, надеюсь подольше проработает💪",5
71,"Слов нет, одни эмоции!!!! МашаАллах1 очень мощный хороший пылесос, рекомендую!!",5
72,"Очень хороший пылесос, высокая мощность, лёгкий, маневренный. Пришёл в целой коробке.",5
73,"Пылесос супер. Лёгкий, манёвренный. Пылесосить им легко и очень удобно. Хорошая тяга, пыль и сор сосёт отлично. О покупке не пожалела. Насадки все на месте. На ручке три режима ""ковер"", ""пол "" и ""мебель "". Насадки в комплекте. Рекомендую к покупке",5
74,Мощный красивый зверь),5
75,"В целом все хорошо, неудобно что нет ручки .",5
76,"Алена, здравствуйте! Спасибо вам за обратную связь! Мы всегда внимательно относимся к замечаниям и пожеланиям наших покупателей, именно они помогают нам делать технику лучше с каждой новой моделью. Желаем приятного использования!",5
77,"Пылесос очень крутой!!!Мощный,лёгкий недостатков нет.",5
78,Хороший пылесос.отлично справляется .очень довольна.спасибо и производителю и вам,5
79,"Пылесос огонь! Брала в рассрочку, вышел на 5800👍👍👍",5
80,Пылесос супер👍🏻Рекомендую,5
81,Хороший пылесос . Рекомендую,5
82,Пылесос отличный,5
83,"Приятная покупка данного пылесоса))) мощность супер, все работает на отлично. Посылка пришла во время. Спасибо",5
84,"Это зверь машина. Шерстяные ковры поднимает. Так присасывается, что с места не сдвинуть. Пропылесосили две комнаты, полный контейнер, и это после старого пылесоса!",5
85,"Отличный пылесос, очень мощный. Рекомендую.",5
86,"Красивые,мощный,удобный.",5
87,"Отличный пылесос, симпатичный, удобный и компактный, нравится что без мешка.. Пришёл хорошо упакован. Очень довольна покупкой!",5
88,"Пылесос зверюга, нравится что без мешков.",5
89,"Привезли быстро, упаковка в идеале. Пылесос зверь. Все отлично",5
90,"Пока все супер, тянет отлично.",5
91,"Очень классный пылесос, супер я довольна очень мощный, пришло всё целое, спасибо продавцу.",5
92,"Очень понравился, даже и не знала что у меня столько пыли, мощность отличная, покупкой довольна!!!!",5
